Type d'infraction,Article(s) du Code de la Route,Loi applicale,Montant de l'amende (Ariary),Sanctions administratives
Conduite en état d'ivresse ou stupéfiants,L7.1-1,Loi n°2017-002,100 000 - 400 000,"Suspension/retrait permis, immobilisation véhicule"
Refus de vérification (alcoolémie),L7.1-2,Loi n°2017-002,200 000 - 800 000,"Retrait/suspension permis, immobilisation"
Conduite sans permis en état d'ivresse,L7.1-3,Loi n°2017-002,200 000 - 800 000,"Emprisonnement 1-12 mois, interdiction permis"
Délit de fuite (accident),L7.1-5,Loi n°2017-002,500 000 - 2 000 000,"Emprisonnement 2-12 mois, retrait permis"
Refus d'obtempérer aux ordres,L7.1-7,Loi n°2017-002,200 000 - 800 000,"Retrait/suspension permis, immobilisation"
Non-respect distance de sécurité,L7.2-4,Loi n°2017-002,200 000 - 800 000,Suspension permis en cas d'accident corporel
Excès de vitesse,L7.2-5,Loi n°2017-002,200 000 - 800 000,Retrait/suspension permis
Course/compétition non autorisée,L7.2-6,Loi n°2017-002,400 000 - 800 000,Emprisonnement 1-6 mois possible
Mise en danger d'autrui,L7.2-3,Loi n°2017-002,200 000 - 1 500 000,Emprisonnement 1-6 mois possible
Plaques immatriculation frauduleuses,L7.3-1,Loi n°2017-002,200 000 - 800 000,"Retrait/suspension permis, immobilisation"
Obstacle sur voie publique,L7.2-3,Loi n°2017-002,200 000 - 1 500 000,Emprisonnement 3-24 mois possible
Défaut de carte grise,L7.4-1,Loi n°2017-002,Variable selon autorité,Mise en fourrière 10 jours minimum
Défaut de permis de conduire,L7.5-1,Loi n°2017-002,Variable selon autorité,Mise en fourrière + poursuites pénales
Défaut d'assurance,L7.4-5,Loi n°2017-002,100 000 - 500 000 (1 M si accident),"Mise en fourrière, retrait permis si accident"
Défaut de visite technique,L7.4-1,Loi n°2017-002,Variable selon autorité,Mise en fourrière
Non-port du casque (moto),L7.6-1,Loi n°2017-002,Jusqu'à 6 000,Avertissement/immobilisation
Non-port ceinture de sécurité,L7.6-2,Loi n°2017-002,Variable selon autorité,Avertissement
Stationnement interdit,L7.2-7 (communes),Loi n°2017-002,12 000 - 600 000,Immobilisation par taquets d'arrêt
Modifications illégales du véhicule,L7.4-2,Loi n°2017-002,Jusqu'à 100 000,Immobilisation du véhicule
Conduite sans permis valable,L7.5-1,Loi n°2017-002,500 000 - 1 500 000,Emprisonnement 1-6 mois si récidive
Utilisation de faux papiers,L7.4-2,Loi n°2017-002,Variable selon autorité,Emprisonnement 6 mois - 2 ans possible
Destruction patrimoine routier,L7.2-3,Loi n°2017-002,200 000 - 800 000,Application Code pénal articles 473-474
Chargement mal arrimé/débordant,L7.2-8,Loi n°2017-002,Variable selon autorité,Avertissement/immobilisation
Violation feux rouges/signalisation,"L7.1-1, L7.2-1",Loi n°2017-002,Variable selon autorité,Mise en fourrière possible
